year,district,growth,g_ave,g_rate
102,三峽,2073,108973.5,0.019022973475203
102,三芝,-13,23470.5,-0.000553886794061
102,三重,-394,390010,-0.00101023050691
102,中和,-761,416122.5,-0.001828788397647
102,中山,1716,227895,0.007529783452906
102,中正,845,162717.5,0.00519304930324
102,五股,442,81523,0.005421782809759
102,信義,589,228201.5,0.002581052271786
102,內湖,2623,281530.5,0.009316930137232
102,八里,457,35972.5,0.01270414900271
102,北投,1264,254812,0.00496051991272
102,南港,1212,119146,0.010172393533984
102,土城,-436,239476,-0.001820641734454
102,坪林,-11,6465.5,-0.001701337870234
102,士林,578,289453,0.001996869958162
102,大同,899,129370.5,0.006949033976061
102,大安,-179,313452.5,-0.000571059410916
102,平溪,-100,5052,-0.019794140934283
102,文山,1825,270428.5,0.006748549061952
102,新店,1364,298335,0.004572041496975
102,新莊,2390,408565,0.005849742391052
102,松山,-666,210676,-0.003161252349579
102,板橋,-497,557168.5,-0.000892010226709
102,林口,3937,92139.5,0.042728688564622
102,樹林,1210,182802,0.006619183597554
102,永和,-1683,229903.5,-0.007320462715879
102,汐止,1384,193508,0.007152159083862
102,泰山,257,77810.5,0.003302896138696
102,淡水,4145,153168.5,0.027061700023177
102,深坑,75,23584.5,0.003180054696941
102,烏來,61,6005.5,0.010157355757223
102,瑞芳,-137,41558.5,-0.003296557864216
102,石碇,-34,7865,-0.004322949777495
102,石門,6,12791,0.00046907982175
102,萬華,777,193091.5,0.004023998984937
102,萬里,163,22536.5,0.007232711379318
102,蘆洲,-189,199520.5,-0.00094727108242
102,貢寮,-90,13351,-0.006741068084788
102,金山,-77,22430.5,-0.003432825839816
102,雙溪,-62,9443,-0.006565710049772
102,鶯歌,210,88532,0.002372023675055
103,三峽,1516,110830,0.013678606875395
103,三芝,21,23469.5,0.000894778329321
103,三重,-437,389543.5,-0.001121825932149
103,中和,-516,415484,-0.001241925080147
103,中山,1570,229711,0.006834674874081
103,中正,153,163311.5,0.000936859927194
103,五股,492,82009,0.005999341535685
103,信義,1036,229139,0.0045212731137
103,內湖,2682,284426,0.009429517695288
103,八里,888,36743,0.024167868709686
103,北投,1934,256553,0.007538403370843
103,南港,1302,120606,0.0107954828118
103,土城,98,239221,0.000409663031256
103,坪林,-8,6459,-0.001238581823812
103,士林,557,290176.5,0.001919521394737
103,大同,1024,130461,0.007849088999778
103,大安,232,313577,0.000739850180338
103,平溪,-42,4975,-0.008442211055276
103,文山,2366,272738,0.008674992116977
103,新店,688,299386,0.00229803664834
103,新莊,1847,410787.5,0.004496241974257
103,松山,62,210442,0.000294617994507
103,板橋,-1019,556423.5,-0.001831338899238
103,林口,3205,96042.5,0.033370643204831
103,樹林,614,183860,0.003339497443707
103,永和,-1775,228154.5,-0.007779815870386
103,汐止,1025,194627.5,0.005266470565568
103,泰山,356,78192,0.004552895436873
103,淡水,3406,157250,0.021659777424483
103,深坑,53,23609.5,0.002244859060971
103,烏來,125,6102.5,0.020483408439164
103,瑞芳,-135,41382.5,-0.003262248535009
103,石碇,17,7855.5,0.002164088854942
103,石門,-39,12752.5,-0.003058223877671
103,萬華,1257,194086.5,0.006476493728312
103,萬里,79,22638.5,0.00348963049672
103,蘆洲,303,199598.5,0.001518047480317
103,貢寮,-178,13204,-0.013480763405029
103,金山,17,22391.5,0.000759216667039
103,雙溪,49,9425.5,0.005198663200891
103,鶯歌,391,88879.5,0.004399214667049
104,三峽,1067,112174.5,0.009511965731962
104,三芝,-3,23488.5,-0.000127722076761
104,三重,-752,388823,-0.001934041967682
104,中和,-973,414790.5,-0.002345762499382
104,中山,517,231091.5,0.002237209070866
104,中正,-928,162939,-0.005695382934718
104,五股,668,82589,0.008088244197169
104,信義,-643,229532.5,-0.002801346214588
104,內湖,1519,286806.5,0.005296253745993
104,八里,452,37452,0.012068781373491
104,北投,258,257733,0.001001035955815
104,南港,859,121815.5,0.007051647778813
104,土城,-607,239006.5,-0.002539679883183
104,坪林,22,6479,0.00339558573854
104,士林,45,290671.5,0.000154813939447
104,大同,-107,130982.5,-0.000816903021396
104,大安,-868,313492,-0.002768810687354
104,平溪,-68,4908,-0.013854930725346
104,文山,1238,274748,0.004505947268042
104,新店,576,299979,0.001920134409409
104,新莊,1330,412578,0.003223632864573
104,松山,-719,210073.5,-0.003422611609746
104,板橋,-1688,555080,-0.003041003098652
104,林口,2463,99118.5,0.024849044325731
104,樹林,96,184201,0.000521169809067
104,永和,-1812,226315,-0.008006539557696
104,汐止,861,195597.5,0.004401896752259
104,泰山,216,78599,0.002748126566496
104,淡水,3034,160704,0.018879430505775
104,深坑,-28,23608,-0.001186038630973
104,烏來,23,6175.5,0.003724394785847
104,瑞芳,-304,41128,-0.007391558062634
104,石碇,-10,7860,-0.001272264631043
104,石門,-89,12685.5,-0.007015884277325
104,萬華,-494,194586,-0.002538723238054
104,萬里,-45,22664.5,-0.00198548390655
104,蘆洲,356,199917,0.001780739006688
104,貢寮,-237,12978.5,-0.018260970065878
104,金山,-136,22328,-0.006091006807596
104,雙溪,-168,9329,-0.018008361024761
104,鶯歌,-1171,88550.5,-0.01322409246701
105,三峽,1405,113477.5,0.01238130907008
105,三芝,-83,23410.5,-0.003545417654471
105,三重,195,388483.5,0.000501951820348
105,中和,-90,414311,-0.000217228120904
105,中山,-39,231266.5,-0.000168636616198
105,中正,-2146,161476,-0.013289900666353
105,五股,1151,83558.5,0.013774780542973
105,信義,-1316,228481,-0.005759778712453
105,內湖,7,287729.5,2.43284056726891E-05
105,八里,456,37939,0.012019294130051
105,北投,-552,257646,-0.002142474558115
105,南港,220,122406,0.001797297518096
105,土城,-146,238573,-0.000611972016951
105,坪林,35,6520.5,0.005367686527107
105,士林,-743,290310.5,-0.002559328718734
105,大同,-958,130550,-0.0073381846036
105,大安,-1403,312207.5,-0.004493806202606
105,平溪,-94,4825,-0.019481865284974
105,文山,-202,275332,-0.000733659727166
105,新店,885,300725.5,0.002942883127636
105,新莊,713,413799.5,0.001723056697749
105,松山,-1363,209007.5,-0.006521297082641
105,板橋,-1723,553146.5,-0.00311490717197
105,林口,2665,101886.5,0.026156556560486
105,樹林,71,184364.5,0.000385106677262
105,永和,-1354,224676,-0.006026455874237
105,汐止,1599,196949.5,0.008118832492593
105,泰山,16,78809,0.00020302249743
105,淡水,3324,164103,0.020255571196139
105,深坑,69,23648.5,0.002917732625748
105,烏來,30,6197,0.004841052121995
105,瑞芳,-322,40761,-0.007899708054268
105,石碇,-121,7796.5,-0.015519784518694
105,石門,-149,12570.5,-0.011853148243904
105,萬華,-775,193926.5,-0.00399635944546
105,萬里,-144,22562,-0.006382412906657
105,蘆洲,647,200378.5,0.003228889326949
105,貢寮,-152,12782,-0.011891722735096
105,金山,-66,22240,-0.002967625899281
105,雙溪,-159,9153.5,-0.017370404763205
105,鶯歌,-700,87581,-0.007992601134949
106,三峽,711,114570.5,0.006205785957118
106,三芝,-149,23274.5,-0.006401856108617
106,三重,-1060,388014,-0.002731860190612
106,中和,-600,413890,-0.001449660537824
106,中山,-622,231021,-0.002692395929374
106,中正,-876,160046,-0.005473426389913
106,五股,748,84545,0.008847359394405
106,信義,-1913,226709.5,-0.008438111327492
106,內湖,-90,287816,-0.000312699780415
106,八里,316,38335,0.008243119864354
106,北投,-928,256920,-0.00361201930562
106,南港,-289,122299.5,-0.002363051361616
106,土城,-424,238279,-0.00177942663852
106,坪林,-2,6529,-0.000306325624138
106,士林,-1621,289105.5,-0.005606949712129
106,大同,-665,129610.5,-0.005130757153163
106,大安,-1435,310686.5,-0.004618803842459
106,平溪,-57,4747.5,-0.012006319115324
106,文山,-809,274828.5,-0.002943653951464
106,新店,784,301697,0.002598633728542
106,新莊,2297,415375.5,0.005529936166192
106,松山,-1301,207638.5,-0.006265697353814
106,板橋,-740,551850,-0.001340944097128
106,林口,2643,104779.5,0.025224399811032
106,樹林,-260,184279,-0.001410904118212
106,永和,-1501,223335.5,-0.006720830320303
106,汐止,1444,198599,0.007270932884858
106,泰山,72,78875,0.000912836767036
106,淡水,3534,167830,0.021057021986534
106,深坑,-7,23663.5,-0.000295814228664
106,烏來,95,6272.5,0.015145476285373
106,瑞芳,-228,40467,-0.005634220475943
106,石碇,-52,7709,-0.006745362563238
106,石門,-195,12383.5,-0.015746759801349
106,萬華,-1565,192632.5,-0.008124278094299
106,萬里,-175,22383.5,-0.007818258985413
106,蘆洲,549,201034.5,0.002730874551383
106,貢寮,-137,12620.5,-0.010855354383741
106,金山,-173,22101.5,-0.0078275230188
106,雙溪,-137,9007.5,-0.015209547599223
106,鶯歌,-570,86878,-0.006560924514837
107,三峽,819,115410.5,0.00709640803913
107,三芝,-208,23082,-0.009011350836149
107,三重,-1299,386475.5,-0.00336114449687
107,中和,-805,412888.5,-0.00194967890847
107,中山,-1102,230007,-0.004791158529958
107,中正,-598,159299,-0.003753946980207
107,五股,1287,85685.5,0.015020044231521
107,信義,-2155,224483.5,-0.009599814685712
107,內湖,-413,287635.5,-0.00143584501913
107,八里,435,38688.5,0.011243651214185
107,北投,-827,255945.5,-0.003231156632955
107,南港,-517,121928.5,-0.004240189947387
107,土城,-984,237393,-0.004145025337731
107,坪林,91,6566.5,0.01385821975177
107,士林,-1796,287442,-0.00624821703161
107,大同,-1583,128416.5,-0.012327076349223
107,大安,-992,309339,-0.003206837805773
107,平溪,-46,4689,-0.009810194071231
107,文山,-617,274070.5,-0.002251245573675
107,新店,161,302150.5,0.000532847041458
107,新莊,1114,417197,0.002670201367699
107,松山,-1405,206404.5,-0.006807022133723
107,板橋,3290,553097,0.005948323711754
107,林口,3765,108198.5,0.034797155228585
107,樹林,-159,184025.5,-0.00086401069417
107,永和,-1433,221814.5,-0.006460353132911
107,汐止,1078,199996,0.005390107802156
107,泰山,-175,78795.5,-0.002220939013015
107,淡水,3761,171621.5,0.02191450371894
107,深坑,-28,23648,-0.001184032476319
107,烏來,113,6381.5,0.017707435555904
107,瑞芳,-328,40146,-0.008170178847208
107,石碇,55,7703.5,0.007139611864737
107,石門,-169,12199.5,-0.013853026763392
107,萬華,-2144,190675,-0.011244263799659
107,萬里,-207,22171.5,-0.009336310127867
107,蘆洲,19,201322.5,9.43759391026835E-05
107,貢寮,-236,12419,-0.019003140349465
107,金山,-254,21901,-0.011597643943199
107,雙溪,-72,8896,-0.008093525179856
107,鶯歌,-216,86469,-0.002498005065399
108,三峽,582,116187,0.005009166257843
108,三芝,-173,22854.5,-0.007569625237918
108,三重,611,386030.5,0.001582776490459
108,中和,743,412697.5,0.00180035013539
108,中山,-1922,228348,-0.0084169775956
108,中正,-889,158458.5,-0.005610301750932
108,五股,1548,87226,0.017747002040676
108,信義,-3092,221567,-0.013955146750193
108,內湖,-1647,286618.5,-0.005746314351656
108,八里,634,39214,0.016167695210894
108,北投,-1864,254251,-0.007331337929841
108,南港,-1279,120936.5,-0.010575798042775
108,土城,824,237284,0.003472631951585
108,坪林,58,6660,0.008708708708709
108,士林,-2880,284899,-0.010108845590894
108,大同,-1608,126847,-0.012676689239793
108,大安,-1055,308158.5,-0.0034235628743
108,平溪,-119,4605.5,-0.025838671154055
108,文山,-1880,272746,-0.006892860023612
108,新店,1214,302838,0.00400874394891
108,新莊,2505,419220.5,0.005975375727093
108,松山,-1440,204913,-0.007027372592271
108,板橋,2043,555875.5,0.003675283404287
108,林口,4894,113135,0.043258054536616
108,樹林,46,183903,0.000250131862993
108,永和,-506,220848,-0.002291168586539
108,汐止,2654,202102,0.01313198286014
108,泰山,35,78733.5,0.000444537585653
108,淡水,4631,176294.5,0.026268544963116
108,深坑,69,23690.5,0.002912559886874
108,烏來,-25,6445.5,-0.003878675044605
108,瑞芳,-416,39744,-0.010466988727858
108,石碇,-105,7681.5,-0.013669205233353
108,石門,-258,11963,-0.021566496698153
108,萬華,-2311,188231.5,-0.012277434967049
108,萬里,-170,21957,-0.007742405610967
108,蘆洲,520,201623,0.002579070840132
108,貢寮,-235,12150.5,-0.019340767869635
108,金山,-350,21571,-0.016225487923601
108,雙溪,-178,8754,-0.02033356180032
108,鶯歌,431,86653.5,0.004973832563024
109,三峽,330,116752,0.002826504042757
109,三芝,-181,22630.5,-0.007998055721261
109,三重,-908,385782,-0.002353660875831
109,中和,-1853,412140.5,-0.004496039578736
109,中山,-3390,225571,-0.015028527603282
109,中正,-2346,156570,-0.014983713355049
109,五股,1305,88817.5,0.014693050356067
109,信義,-4504,217492,-0.020708807680282
109,內湖,-3001,284025.5,-0.010565952704951
109,八里,186,39648,0.004691283292978
109,北投,-3011,251649.5,-0.011965054569947
109,南港,-1403,119459.5,-0.011744566150034
109,土城,515,238019.5,0.002163688269238
109,坪林,5,6700.5,0.000746212969181
109,士林,-4831,280866.5,-0.017200342511478
109,大同,-2060,124879,-0.016495968097118
109,大安,-4882,305085,-0.01600209777603
109,平溪,-109,4478.5,-0.024338506196271
109,文山,-3544,269902,-0.013130691880757
109,新店,-92,303578,-0.000303052263339
109,新莊,1969,421668.5,0.004669544915022
109,松山,-3727,202179.5,-0.018434114240069
109,板橋,-6,557117,-1.07697305951892E-05
109,林口,5192,118596,0.043778879557489
109,樹林,-436,183688,-0.002373590000436
109,永和,-1255,219991.5,-0.005704765865954
109,汐止,2226,204734,0.010872644504577
109,泰山,-319,78571.5,-0.004059996309094
109,淡水,4242,181157,0.023416152839802
109,深坑,9,23718.5,0.000379450639796
109,烏來,-18,6425,-0.002801556420233
109,瑞芳,-418,39286,-0.010639922618745
109,石碇,-57,7593.5,-0.007506419964443
109,石門,-336,11648,-0.028846153846154
109,萬華,-3760,184968,-0.020327840491328
109,萬里,-130,21775,-0.005970149253731
109,蘆洲,430,202241,0.002126176195727
109,貢寮,-224,11894,-0.018833025054649
109,金山,-250,21252,-0.01176359872012
109,雙溪,-164,8550,-0.019181286549708
109,鶯歌,729,87309.5,0.00834960685836
110,三峽,-847,116442.5,-0.007273976426133
110,三芝,-172,22443,-0.007663859555318
110,三重,-3244,383353,-0.008462174549306
110,中和,-4694,408487,-0.01149118576601
110,中山,-7871,219502.5,-0.035858361522078
110,中正,-4613,152950.5,-0.030160084471774
110,五股,936,89997,0.010400346678223
110,信義,-7169,211084.5,-0.033962702140612
110,內湖,-5268,279341,-0.018858670943399
110,八里,427,39964.5,0.010684482478199
110,北投,-5079,247289.5,-0.0205386803726
110,南港,-2768,117164,-0.023625004267522
110,土城,-708,237838,-0.002976816152171
110,坪林,-81,6659.5,-0.012163075305954
110,士林,-8251,273807.5,-0.030134309688376
110,大同,-2876,122210,-0.023533262417151
110,大安,-10502,296661,-0.035400676192691
110,平溪,-79,4372.5,-0.018067467124071
110,文山,-6254,264703,-0.023626479488332
110,新店,-3597,301494.5,-0.011930565897554
110,新莊,-1470,422116,-0.003482455059747
110,松山,-6583,196679.5,-0.033470697251112
110,板橋,-4188,554807,-0.007548570944491
110,林口,3191,123032.5,0.025936236360311
110,樹林,-1399,182602.5,-0.007661450418258
110,永和,-4204,217069,-0.019367113682746
110,汐止,202,205889,0.000981111181268
110,泰山,-948,77925,-0.012165543792108
110,淡水,1709,184342.5,0.009270786714946
110,深坑,-96,23694,-0.004051658647759
110,烏來,-29,6405.5,-0.004527359300601
110,瑞芳,-544,38721,-0.014049223935332
110,石碇,-75,7524.5,-0.00996743969699
110,石門,-282,11334,-0.024880889359449
110,萬華,-6008,179621,-0.033448204831284
110,萬里,-210,21567,-0.009737098344693
110,蘆洲,-1047,202012.5,-0.005182847596065
110,貢寮,-217,11642.5,-0.018638608546274
110,金山,-252,20970,-0.012017167381974
110,雙溪,-201,8335.5,-0.024113730430088
110,鶯歌,458,87902,0.00521034788742
